,name,genres,publisher,developer,price
10,Counter-Strike,['Action'],Valve,Valve,9.99
20,Team Fortress Classic,['Action'],Valve,Valve,4.99
30,Day of Defeat,['Action'],Valve,Valve,4.99
40,Deathmatch Classic,['Action'],Valve,Valve,4.99
50,Half-Life: Opposing Force,['Action'],Gearbox Software,Valve,4.99
60,Ricochet,['Action'],Valve,Valve,4.99
70,Half-Life,['Action'],Valve,Valve,9.99
80,Counter-Strike: Condition Zero,['Action'],Valve,Valve,9.99
130,Half-Life: Blue Shift,['Action'],Gearbox Software,Valve,4.99
220,Half-Life 2,['Action'],Valve,Valve,9.99
240,Counter-Strike: Source,['Action'],Valve,Valve,19.99
280,Half-Life: Source,['Action'],Valve,Valve,9.99
300,Day of Defeat: Source,['Action'],Valve,Valve,9.99
320,Half-Life 2: Deathmatch,['Action'],Valve,Valve,4.99
340,Half-Life 2: Lost Coast,['Action'],Valve,Valve,0.0
360,Half-Life Deathmatch: Source,['Action'],Valve,Valve,9.99
380,Half-Life 2: Episode One,['Action'],Valve,Valve,7.99
400,Portal,['Action'],Valve,Valve,9.99
420,Half-Life 2: Episode Two,['Action'],Valve,Valve,7.99
440,Team Fortress 2,"['Action', 'Free to Play']",Valve,Valve,0.0
500,Left 4 Dead,['Action'],Valve,Valve,19.99
550,Left 4 Dead 2,['Action'],Valve,Valve,19.99
570,Dota 2,"['Free to Play', 'MOBA', 'Strategy', 'Multiplayer', 'Team-Based', 'Action', 'e-sports', 'Online Co-Op', 'Competitive', 'PvP', 'RTS', 'Difficult', 'RPG', 'Fantasy', 'Tower Defense', 'Co-op', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",0,0,0.0
620,Portal 2,"['Action', 'Adventure']",Valve,Valve,19.99
630,Alien Swarm,['Action'],Valve,Valve,0.0
730,Counter-Strike: Global Offensive,['Action'],Valve,Valve,14.99
1002,Rag Doll Kung Fu,['Indie'],Mark Healey,Mark Healey,9.99
1200,Red Orchestra: Ostfront 41-45,['Action'],Tripwire Interactive,Tripwire Interactive,9.99
1230,Mare Nostrum,['Action'],Sandstorm Productions,Tripwire Interactive,0.0
1250,Killing Floor,['Action'],Tripwire Interactive,Tripwire Interactive,19.99
1256,Killing Floor Outbreak Character Pack,['Action'],Tripwire Interactive,Tripwire Interactive,7.99
1257,Killing Floor: Nightfall Character Pack,['Action'],Tripwire Interactive,Tripwire Interactive,7.99
1280,Darkest Hour: Europe '44-'45,"['Action', 'Simulation']",Darklight Games,Darklight Games,0.0
1300,SiN Episodes: Emergence,['Action'],Ritual Entertainment,Ritual Entertainment,9.99
1500,Darwinia,"['Indie', 'Strategy']",Introversion Software,Introversion Software,9.99
